words,char,value
bustic,6,74
busticate,9,100
bustle,6,79
bustled,7,83
bustler,7,97
bustling,8,104
bustlingly,10,141
busy,4,67
busybodied,10,106
busybody,8,113
busybodyish,11,149
busybodyism,11,154
busybodyness,12,170
Busycon,7,99
busyhead,8,85
busying,7,97
busyish,7,103
busyness,8,124
busywork,8,134
but,3,43
butadiene,9,81
butadiyne,9,101
butanal,7,71
butane,6,63
butanoic,8,85
butanol,7,85
butanolid,9,98
butanolide,10,103
butanone,8,92
butch,5,54
butcher,7,77
butcherbird,11,110
butcherdom,10,109
butcherer,9,100
butcheress,10,120
butchering,10,107
butcherless,11,132
butcherliness,13,155
butcherly,9,114
butcherous,10,132
butchery,8,102
Bute,4,48
Butea,5,49
butein,6,71
butene,6,67
butenyl,7,99
Buteo,5,63
buteonine,9,105
butic,5,55
butine,6,71
Butler,6,78
butler,6,78
butlerage,9,91
butlerdom,9,110
butleress,9,121
butlerism,9,119
butlerlike,10,115
butlership,10,130
butlery,7,103
butment,7,95
Butomaceae,10,86
butomaceous,11,135
Butomus,7,111
butoxy,6,107
butoxyl,7,119
Butsu,5,83
butt,4,63
butte,5,68
butter,6,86
butteraceous,12,150
butterback,10,103
butterball,10,113
butterbill,10,121
butterbird,10,119
butterbox,9,127
butterbump,10,138
butterbur,9,127
butterbush,10,136
buttercup,9,126
buttered,8,95
butterfat,9,113
butterfingered,14,154
butterfingers,13,164
butterfish,10,128
butterflower,12,165
butterfly,9,129
butterflylike,13,166
butterhead,10,104
butterine,9,114
butteriness,11,152
butteris,8,114
butterjags,10,123
butterless,10,141
butterlike,10,123
buttermaker,11,134
buttermaking,12,141
butterman,9,114
buttermilk,10,131
buttermonger,12,158
buttermouth,11,163
butternose,10,139
butternut,9,141
butterroot,10,154
butterscotch,12,154
butterweed,10,123
butterwife,10,129
butterwoman,11,152
butterworker,12,176
butterwort,10,162
butterwright,12,171
buttery,7,111
butteryfingered,15,179
buttgenbachite,14,137
butting,7,93
buttinsky,9,141
buttle,6,80
buttock,7,92
buttocked,9,101
buttocker,9,115
button,6,92
buttonball,10,119
buttonbur,9,133
buttonbush,10,142
buttoned,8,101
buttoner,8,115
buttonhold,10,131
buttonholder,12,154
buttonhole,10,132
buttonholer,11,150
buttonhook,10,141
buttonless,10,147
buttonlike,10,129
buttonmold,10,136
buttons,7,111
buttonweed,10,129
buttonwood,10,149
buttony,7,117
buttress,8,124
buttressless,12,179
buttresslike,12,161
buttstock,9,131
buttwoman,9,129
buttwood,8,120
butty,5,88
buttyman,8,116
butyl,5,80
butylamine,10,122
butylation,10,139
butylene,8,104
butylic,7,92
Butyn,5,82
butyne,6,87
butyr,5,86
butyraceous,11,150
butyral,7,99
butyraldehyde,13,150
butyrate,8,112
butyric,7,98
butyrically,11,148
butyrin,7,109
butyrinase,10,134
butyrochloral,13,170
butyrolactone,13,171
butyrometer,11,162
butyrometric,12,169
butyrone,8,120
butyrous,8,141
butyrousness,12,198
butyryl,7,123
Buxaceae,8,62
buxaceous,9,111
Buxbaumia,9,94
Buxbaumiaceae,13,108
buxerry,7,113
buxom,5,75
buxomly,7,112
buxomness,9,132
Buxus,5,87
buy,3,48
buyable,7,68
buyer,5,71
Buyides,7,85
buzane,6,69
buzylene,8,110
buzz,4,75
buzzard,7,98
buzzardlike,11,135
buzzardly,9,135
buzzer,6,98
buzzerphone,11,156
buzzgloak,9,121
buzzies,7,108
buzzing,7,105
buzzingly,9,142
buzzle,6,92
buzzwig,7,114
buzzy,5,100
by,2,27
Byblidaceae,11,69
Byblis,6,69
bycoket,7,81
bye,3,32
byee,4,37
byegaein,8,68
byeman,6,60
byepath,7,77
byerite,7,84
byerlite,8,96
byestreet,9,119
byeworker,9,122
byeworkman,10,127
bygane,6,54
byganging,9,86
bygo,4,49
bygoing,7,79
bygone,6,68
byhand,6,54
bylaw,5,63
bylawman,8,91
byname,6,60
bynedestin,10,117
Bynin,5,64
byon,4,56
byordinar,9,106
byordinary,10,131
byous,5,82
byously,7,119
bypass,6,82
bypasser,8,105
bypast,6,83
bypath,6,72
byplay,6,81
byre,4,50
byreman,7,78
byrewards,9,115
byrewoman,9,116
byrlaw,6,81
byrlawman,9,109
byrnie,6,73
byroad,6,65
Byron,5,74
Byronesque,10,141
Byronian,8,98
Byroniana,9,99
Byronic,7,86
Byronically,11,136
Byronics,8,105
Byronish,8,110
Byronism,8,115
Byronist,8,122
Byronite,8,108
Byronize,8,114
byrrus,6,103
Byrsonima,9,116
byrthynsak,10,143
Bysacki,7,70
bysen,5,65
bysmalith,9,109
byspell,7,91
byssaceous,10,129
byssal,6,78
byssiferous,11,158
byssin,6,88
byssine,7,93
byssinosis,10,150
byssogenous,11,161
byssoid,7,93
byssolite,9,126
byssus,6,105
bystander,9,108
bystreet,8,114
byth,4,55
bytime,6,74
bytownite,9,133
bytownitite,11,162
bywalk,6,74
bywalker,8,97
byway,5,76
bywoner,7,102
byword,6,87
bywork,6,94
Byzantian,9,112
Byzantine,9,116
Byzantinesque,13,178
Byzantinism,11,152
Byzantinize,11,151
C,1,3
c,1,3
ca,2,4
caam,4,18
caama,5,19
caaming,7,48
caapeba,7,29
caatinga,8,56
cab,3,6
caba,4,7
cabaan,6,22
caback,6,21
cabaho,6,30
cabal,5,19
cabala,6,20
cabalassou,10,94
cabaletta,9,65
cabalic,7,31
cabalism,8,60
cabalist,8,67
cabalistic,10,79
cabalistical,12,92
cabalistically,14,129
caballer,8,54
caballine,9,59
caban,5,21
cabana,6,22
cabaret,7,50
cabas,5,26
cabasset,8,70
cabassou,8,81
cabbage,7,21
cabbagehead,11,39
cabbagewood,11,78
cabbagy,7,41
cabber,6,31
cabble,6,25
cabbler,7,43
cabby,5,33
cabda,5,11
cabdriver,9,82
cabdriving,10,89
cabellerote,11,98
caber,5,29
cabernet,8,68
cabestro,8,83
cabezon,7,66
cabilliau,9,70
cabin,5,29
Cabinda,7,34
cabinet,7,54
cabinetmaker,12,102
cabinetmaking,13,109
cabinetry,9,97
cabinetwork,11,121
cabinetworker,13,144
cabinetworking,14,151
cabio,5,30
Cabirean,8,53
Cabiri,6,42
Cabiria,7,43
Cabirian,8,57
Cabiric,7,45
Cabiritic,9,74
cable,5,23
cabled,6,27
cablegram,9,62
cableless,9,78
cablelike,9,60
cableman,8,51
cabler,6,41
cablet,6,43
cableway,8,72
cabling,7,48
cabman,6,34
cabob,5,23
caboceer,8,52
cabochon,8,61
cabocle,7,41
Cabomba,7,37
Cabombaceae,11,51
caboodle,8,57
cabook,6,47
caboose,7,60
caboshed,8,57
cabot,5,41
cabotage,8,54
cabree,6,34
cabrerite,9,81
cabreuva,8,73
cabrilla,8,58
cabriole,8,65
cabriolet,9,85
cabrit,6,53
cabstand,8,64
cabureiba,9,62
cabuya,6,53
Caca,4,8
Cacajao,7,34
Cacalia,7,30
cacam,5,21
Cacan,5,22
Cacana,6,23
cacanthrax,10,93
cacao,5,23
Cacara,6,27
Cacatua,7,50
Cacatuidae,10,68
Cacatuinae,10,78
Caccabis,8,41
cacesthesia,11,93
cacesthesis,11,111
cachalot,8,63
cachaza,7,43
cache,5,20
cachectic,9,55
cachemia,8,43
cachemic,8,45
cachet,6,40
cachexia,8,54
cachexic,8,56
cachexy,7,69
cachibou,8,62
cachinnate,10,78
cachinnation,12,111
cachinnator,11,106
cachinnatory,12,131
cacholong,9,78
cachou,6,51
cachrys,7,77
cachucha,8,48
cachunde,8,59
Cacicus,7,59
cacidrosis,10,100
caciocavallo,12,97
cacique,7,59
caciqueship,11,111
caciquism,9,95
cack,4,18
cackerel,8,58
cackle,6,35
cackler,7,53
cacocholia,10,70
cacochroia,10,76
cacochylia,10,80
cacochymia,10,81
cacochymic,10,83
cacochymical,12,96
cacochymy,9,96
cacocnemia,10,67
cacodaemoniac,13,87
cacodaemonial,13,96
cacodaemonic,12,86
cacodemon,9,73
cacodemonia,11,83
cacodemoniac,12,86
cacodemonial,12,95
cacodemonic,11,85
cacodemonize,12,113
cacodemonomania,15,126
cacodontia,10,85
cacodorous,10,114
cacodoxian,10,89
cacodoxical,11,90
cacodoxy,8,90
cacodyl,7,63
cacodylate,10,89
cacodylic,9,75
cacoeconomy,11,112
cacoepist,9,91
cacoepistic,11,103
cacoepy,7,68
cacoethes,9,79
cacoethic,9,67
cacogalactia,12,76
cacogastric,11,99
cacogenesis,11,100
cacogenic,9,60
cacogenics,10,79
cacogeusia,10,84
cacoglossia,11,104
cacographer,11,95
cacographic,11,84
cacographical,13,97
cacography,10,97
cacology,8,81
cacomagician,12,79
cacomelia,9,62
cacomistle,10,100
cacomixl,8,80
cacomixle,9,85
cacomorphia,11,102
cacomorphosis,13,154
caconychia,10,82
caconym,7,74
caconymic,9,86
cacoon,6,51
cacopathy,9,92
cacopharyngia,13,121
cacophonia,10,85
cacophonic,10,87
cacophonical,12,100
cacophonically,14,137
cacophonist,11,123
cacophonize,11,115
cacophonous,11,130
cacophonously,13,167
cacophony,9,100
cacophthalmia,13,110
cacoplasia,10,80
cacoplastic,11,102
cacoproctia,11,104
cacorhythmic,12,126
cacorrhachis,12,106
cacorrhinia,11,99
cacosmia,8,64
cacospermia,11,103
cacosplanchnia,14,119
cacostomia,10,99
cacothansia,11,94
cacotheline,11,95
cacothesis,10,102
cacothymia,10,98
cacotrichia,11,90
cacotrophia,11,109
cacotrophic,11,111
cacotrophy,10,124
cacotype,8,88
cacoxene,8,70
cacoxenite,10,99
cacozeal,8,66
cacozealous,11,121
cacozyme,8,91
Cactaceae,9,42
cactaceous,10,91
Cactales,8,64
cacti,5,36
cactiform,9,88
cactoid,7,55
Cactus,6,67
cacuminal,9,77
cacuminate,10,90
cacumination,12,123
cacuminous,10,119
cacur,5,46
cad,3,8
cadalene,8,45
cadamba,7,25
cadastral,9,79
cadastration,12,125
cadastre,8,71
cadaver,7,54
cadaveric,9,66
cadaverine,10,82
cadaverize,10,94
cadaverous,10,109
cadaverously,12,146
cadaverousness,14,166
cadbait,7,40
cadbit,6,39
cadbote,7,50
caddice,7,29
caddiced,8,33
Caddie,6,26
caddie,6,26
caddis,6,40
caddised,8,49
caddish,7,48
caddishly,9,85
caddishness,11,105
caddle,6,29
Caddo,5,27
Caddoan,7,42
caddow,6,50
caddy,5,37
cade,4,13
cadelle,7,42
cadence,7,35
cadenced,8,39
cadency,7,55
cadent,6,47
cadential,9,69
cadenza,7,54
cader,5,31
caderas,7,51
Cadet,5,33
cadet,5,33
cadetcy,7,61
cadetship,9,85
cadette,7,58
cadew,5,36
cadge,5,20
cadger,6,38
cadgily,7,61
cadginess,9,81
cadgy,5,40
cadi,4,17
cadilesker,10,87
cadinene,8,55
cadism,6,49
cadiueio,8,67
cadjan,6,33
cadlock,7,49
Cadmean,7,41
cadmia,6,31
cadmic,6,33
cadmide,7,39
cadmiferous,11,114
cadmium,7,64
cadmiumize,10,104
Cadmopone,9,86
Cadmus,6,61
cados,5,42
cadrans,7,60
cadre,5,31
cadua,5,30
caduac,6,33
caduca,6,33
caducary,8,76
caducean,8,52
caduceus,8,77
caduciary,9,85
caducibranch,12,87
Caducibranchiata,16,118
caducibranchiate,16,122
caducicorn,10,91
caducity,8,86
caducous,8,87
cadus,5,48
Cadwal,6,44
Cadwallader,11,84
cadweed,7,45
caeca,5,13
caecal,6,25
caecally,8,62
caecectomy,10,93
caeciform,9,73
Caecilia,8,43
Caeciliae,9,48
caecilian,9,57
Caeciliidae,11,61
caecitis,8,69
caecocolic,10,69
caecostomy,10,119
caecotomy,9,100
caecum,6,46
Caedmonian,10,79
Caedmonic,9,67
Caelian,7,45
caelometer,10,97
Caelum,6,55
Caelus,6,61
Caenogaea,9,52
Caenogaean,10,66
Caenolestes,11,118
caenostylic,11,126
caenostyly,10,139
caeoma,6,38
caeremoniarius,14,151
Caerphilly,10,109
Caesalpinia,11,90
Caesalpiniaceae,15,104
caesalpiniaceous,16,153
Caesar,6,47
Caesardom,9,79
Caesarean,9,67
Caesareanize,12,107
Caesarian,9,71
Caesarism,9,88
Caesarist,9,95
Caesarize,9,87
caesaropapacy,13,124
caesaropapism,13,136
caesaropopism,13,150
Caesarotomy,11,135
Caesarship,10,99
caesious,8,92
caesura,7,68
caesural,8,80
caesuric,8,79
cafeneh,7,42
cafenet,7,54
cafeteria,9,68
caffa,5,17
caffeate,8,47
caffeic,7,33
caffeina,8,45
caffeine,8,49
caffeinic,9,56
caffeinism,10,85
caffeism,8,62
caffeol,7,48
caffeone,8,55
caffetannic,11,82
caffetannin,11,93
caffiso,7,59
caffle,6,33
caffoline,9,71
caffoy,6,56
cafh,4,18
cafiz,5,45
caftan,6,45
caftaned,8,54
cag,3,11
Cagayan,7,52
cage,4,16
caged,5,20
cageful,7,55
cageless,8,71
cagelike,8,53
cageling,8,58
cageman,7,44
cager,5,34
cagester,8,78
cagework,8,83
cagey,5,41
caggy,5,43
cagily,6,57
cagit,5,40
cagmag,6,32
Cagn,4,25
Cahenslyism,11,128
Cahill,6,45
cahincic,8,50
Cahita,6,42
cahiz,5,47
Cahnite,7,60
Cahokia,7,48
cahoot,6,62
cahot,5,47
cahow,5,50
Cahuapana,9,66
Cahuilla,8,67
caickle,7,44
caid,4,17
cailcedra,9,56
cailleach,9,54
caimacam,8,44
caimakam,8,52
caiman,6,41
caimitillo,10,103
caimito,7,70
Cain,4,27
cain,4,27
Caingang,8,56
Caingua,7,56
Cainian,7,51
Cainish,7,63
Cainism,7,68
Cainite,7,61
Cainitic,8,68
caique,6,56
caiquejee,9,76
Cairba,6,34
caird,5,35
Cairene,7,55
cairn,5,45
cairned,7,54
cairngorm,9,98
cairngorum,10,119
cairny,6,70
Cairo,5,46
caisson,7,80
caissoned,9,89
Caitanyas,9,93
Caite,5,38
caitiff,7,54
Cajan,5,29
Cajanus,7,69
cajeput,7,76
cajole,6,46
cajolement,10,98
cajoler,7,64
cajolery,8,89
cajoling,8,71
cajolingly,10,108
cajuela,7,53
Cajun,5,49
cajun,5,49
cajuput,7,92
cajuputene,10,116
cajuputol,9,119
Cakavci,7,50
Cakchikel,9,63
cake,4,20
cakebox,7,61
cakebread,9,50
cakehouse,9,88
cakemaker,9,68
cakemaking,10,75
caker,5,38
cakette,7,65
cakewalk,8,67
cakewalker,10,90
cakey,5,45
Cakile,6,41
caky,4,40
cal,3,16
calaba,6,20
Calabar,7,38
Calabari,8,47
calabash,8,47
calabaza,8,47
calabazilla,11,80
calaber,7,42
calaboose,9,73
calabrasella,12,87
Calabrese,9,66
calabrese,9,66
Calabrian,9,61
calade,6,26
Caladium,8,64
calais,6,45
calalu,6,50
Calamagrostis,13,138
calamanco,9,63
calamansi,9,73
Calamariaceae,13,73
calamariaceous,14,122
Calamariales,12,95
calamarian,10,73
calamarioid,11,86
calamaroid,10,77
calamary,8,74
calambac,8,36
calambour,9,86
calamiferous,12,123
calamiform,10,91
calaminary,10,97
calamine,8,58
calamint,8,73
Calamintha,10,82
calamistral,11,109
calamistrum,11,130
calamite,8,64
calamitean,10,79
Calamites,9,83
calamitoid,10,87
calamitous,10,114
calamitously,12,151
calamitousness,14,171
calamity,8,84
Calamodendron,13,119
calamondin,10,86
Calamopitys,11,134
Calamospermae,13,122
Calamostachys,13,140
calamus,7,70
calander,8,58
Calandra,8,54
calandria,9,63
Calandridae,11,72
Calandrinae,11,82
Calandrinia,11,86
calangay,8,64
calantas,8,71
Calanthe,8,64
calapite,8,67
Calappa,7,50
Calappidae,10,68
Calas,5,36
calascione,10,82
calash,6,44
Calathea,8,51
calathian,9,69
calathidium,11,101
calathiform,11,106
calathiscus,11,116
calathus,8,85
Calatrava,9,79
calaverite,10,96
calbroben,9,72
calcaneal,9,52
calcaneoastragalar,18,152
calcaneoastragaloid,19,161
calcaneocuboid,14,108
calcaneofibular,15,123
calcaneonavicular,17,155
calcaneoplantar,15,136
calcaneoscaphoid,16,129
calcaneotibial,14,107
calcaneum,9,73
calcaneus,9,79
calcar,6,38
calcarate,9,64
Calcarea,8,44
calcareoargillaceous,20,181
calcareobituminous,18,201
calcareocorneous,16,168
calcareosiliceous,17,170
calcareosulphurous,18,228
calcareous,10,98
calcareously,12,135
calcareousness,14,155
calcariferous,13,131
calcariform,11,99
calcarine,9,66
calced,6,28
calceiform,10,85
calcemia,8,47
Calceolaria,11,80
calceolate,10,77
Calchaqui,9,75
Calchaquian,11,90
calcic,6,31
calciclase,10,68
calcicole,9,63
calcicolous,11,113
calcicosis,10,93
calciferol,10,84
Calciferous,11,112
calciferous,11,112
calcific,8,46
calcification,13,105
calcified,9,52
calciform,9,80
calcifugal,10,75
calcifuge,9,67
calcifugous,11,117
calcify,7,59
calcigenous,11,109
calcigerous,11,113
calcimeter,10,89
calcimine,9,69
calciminer,10,87
calcinable,10,62
calcination,11,101
calcinatory,11,121
calcine,7,47
calcined,8,51
calciner,8,65
calcinize,9,82
calciobiotite,13,123
calciocarnotite,15,148
calcioferrite,13,124
calcioscheelite,15,129
calciovolborthite,17,189
calcipexy,9,98
calciphile,10,78
calciphilia,11,83
calciphilous,12,128
calciphobe,10,74
calciphobous,12,124
calciphyre,10,100
calciprivic,11,105
calcisponge,11,104
Calcispongiae,13,114
calcite,7,53
calcitestaceous,15,156
calcitic,8,60
calcitrant,10,101
calcitrate,10,92
calcitreation,13,130
calcium,7,62
calcivorous,11,138
calcographer,12,107
calcographic,12,96
calcography,11,109
calcrete,8,67
calculability,13,130
calculable,10,72
Calculagraph,12,103
calculary,9,96
calculate,9,78
calculated,10,82
calculatedly,12,119
calculating,11,103
calculatingly,13,140
calculation,11,111
calculational,13,124
calculative,11,109
calculator,10,106
calculatory,11,131
calculi,7,61
calculiform,11,113
calculist,9,100
calculous,9,107
calculus,8,92
Calcydon,8,77
calden,6,39
caldron,7,67
calean,6,36
Caleb,5,23
Caledonia,9,64
Caledonian,10,78
caledonite,10,88
calefacient,11,79
calefaction,11,89
calefactive,11,87
calefactor,10,84
calefactory,11,109
calelectric,11,91
calelectrical,13,104
calelectricity,14,145
Calemes,7,58
calendal,8,52
calendar,8,58
calendarer,10,81
calendarial,11,80
calendarian,11,82
calendaric,10,70
calender,8,62
calenderer,10,85
calendric,9,69
calendrical,11,82
calendry,8,82
calends,7,58
Calendula,9,73
calendulin,10,95
calentural,10,107
calenture,9,99
calenturist,11,142
calepin,7,60
calescence,10,70
calescent,9,82
calf,4,22
calfbound,9,78
calfhood,8,64
calfish,7,58
calfkill,8,66
calfless,8,77
calflike,8,59
calfling,8,64
calfskin,8,75
Caliban,7,42
Calibanism,10,83
caliber,7,50
calibered,9,59
calibogus,9,89
calibrate,9,71
calibration,11,104
calibrator,10,99
calibre,7,50
Caliburn,8,80
Caliburno,9,95
calicate,8,54
calices,7,52
caliciform,10,89
calicle,7,45
calico,6,43
calicoback,10,60
calicoed,8,52
calicular,9,80
caliculate,10,87
Calicut,7,69
calid,5,29
calidity,8,83
caliduct,8,73
California,10,88
Californian,11,102
californite,11,112
californium,11,121
caliga,6,33
caligated,9,62
caliginous,10,110
caliginously,12,147
caligo,6,47
Calimeris,9,89
Calinago,8,62
calinda,7,44
calinut,7,80
caliological,12,99
caliologist,11,122
caliology,9,99
calipash,8,69
calipee,7,51
caliper,7,64
caliperer,9,87
calipers,8,83
caliph,6,49
caliphal,8,62
caliphate,9,75
caliphship,10,101
Calista,7,65
calistheneum,12,130
calisthenic,11,103
calisthenical,13,116
calisthenics,12,122
Calite,6,50
caliver,7,70
calix,5,49
Calixtin,8,92
Calixtus,8,109
calk,4,27
calkage,7,40
calker,6,50
calkin,6,50
calking,7,57
call,4,28
Calla,5,29
callable,8,48
callainite,10,86
callant,7,63
callboy,7,70
caller,6,51
callet,6,53
calli,5,37
Callianassa,11,92
Callianassidae,14,110
Calliandra,10,75
Callicarpa,10,76
Callicebus,10,87
callid,6,41
callidity,9,95
callidness,10,98
calligraph,10,87
calligrapha,11,88
calligrapher,12,110
calligraphic,12,99
calligraphical,14,112
calligraphically,16,149
calligraphist,13,135
calligraphy,11,112
calling,7,58
Callionymidae,13,123
Callionymus,11,144
Calliope,8,73
calliophone,11,110
Calliopsis,10,115
calliper,8,76
calliperer,10,99
Calliphora,10,95
calliphorid,11,107
Calliphoridae,13,113
calliphorine,12,122
callipygian,11,109
callipygous,11,140
Callirrhoe,10,101
Callisaurus,11,136
callisection,12,122
callisteia,10,91
Callistemon,11,123
Callistephus,12,145
Callithrix,10,116
callithump,10,115
callithumpian,13,139
Callitrichaceae,15,110
callitrichaceous,16,159
Callitriche,11,100
Callitrichidae,14,114
Callitris,9,103
callitype,9,103
callo,5,43
Callorhynchidae,15,138
Callorhynchus,13,159
callosal,8,75
callose,7,67
callosity,9,116
callosomarginal,15,152
callosum,8,96
callous,7,83
callously,9,120
callousness,11,140
Callovian,9,89
callow,6,66
callower,8,89
callowman,9,94
callowness,10,123
Calluna,7,64
callus,6,68
Callynteria,11,120
calm,4,29
calmant,7,64
calmative,9,86
calmer,6,52
calmierer,9,84
calmingly,9,96
calmly,6,66
calmness,8,86
calmy,5,54
Calocarpum,10,103
Calochortaceae,14,110
Calochortus,11,135
calodemon,9,82
calography,10,106
calomba,7,47
calomel,7,61
calomorphic,11,113
Calonectria,11,101
Calonyction,11,131
calool,6,58
Calophyllum,11,138
Calopogon,9,98
calor,5,49
calorescence,12,103
calorescent,11,115
caloric,7,61
caloricity,10,115
calorie,7,63
calorifacient,13,116
calorific,9,76
calorifical,11,89
calorifically,13,126
calorification,14,135
calorifics,10,95
calorifier,10,96
calorify,8,89
calorigenic,11,96
calorimeter,11,119
calorimetric,12,126
calorimetrical,14,139
calorimetrically,16,176
calorimetry,11,139
calorimotor,11,139
caloris,7,77
calorisator,11,131
calorist,8,97
Calorite,8,83
calorize,8,89
calorizer,9,107
Calosoma,8,79
Calotermes,10,111
calotermitid,12,129
Calotermitidae,14,135
Calothrix,9,110
calotte,7,76
calotype,8,97
calotypic,9,104
calotypist,10,140
caloyer,7,79
calp,4,32
calpac,6,36
calpack,7,47
calpacked,9,56
calpulli,8,86
Caltha,6,45
caltrap,7,71
caltrop,7,85
calumba,7,53
calumet,7,75
calumniate,10,99
calumniation,12,132
calumniative,12,130
calumniator,11,127
calumniatory,12,152
calumnious,10,128
calumniously,12,165
calumniousness,14,185
calumny,7,89
Calusa,6,57
calutron,8,104
Calvados,8,77
calvaria,8,67
calvarium,9,100
Calvary,7,82
Calvatia,8,69
calve,5,43
calved,6,47
calver,6,61
calves,6,62
Calvin,6,61
Calvinian,9,85
Calvinism,9,102
Calvinist,9,109
Calvinistic,11,121
Calvinistical,13,134
Calvinistically,15,171
Calvinize,9,101
calvish,7,74
calvities,9,100
calvity,7,92
calvous,7,93
calx,4,40
calycanth,9,87
Calycanthaceae,14,102
calycanthaceous,15,151
calycanthemous,14,160
calycanthemy,12,130
calycanthine,12,115
Calycanthus,11,127
calycate,8,70
Calyceraceae,12,82
calyceraceous,13,131
calyces,7,68
calyciferous,12,137
calycifloral,12,117
calyciflorate,13,130
calyciflorous,13,159
calyciform,10,105
calycinal,9,80
calycine,8,72
calycle,7,61
calycled,8,65
Calycocarpum,12,131
calycoid,8,72
calycoideous,12,132
Calycophora,11,117
Calycophorae,12,122
calycophoran,12,131
Calycozoa,9,101
calycozoan,10,115
calycozoic,10,112
calycozoon,10,129
calycular,9,96
calyculate,10,103
calyculated,11,107
calycule,8,82
calyculus,9,117
Calydon,7,74
Calydonian,10,98
Calymene,8,78
calymma,7,68
calyphyomy,10,143
calypsist,9,124
Calypso,7,91
calypso,7,91
calypsonian,11,129
calypter,8,100
Calypterae,10,106
Calyptoblastea,14,152
calyptoblastic,14,158
Calyptorhynchus,15,208
calyptra,8,96
Calyptraea,10,102
Calyptranthes,13,162
Calyptrata,10,117
Calyptratae,11,122
calyptrate,10,121
calyptriform,12,156
calyptrimorphous,16,229
calyptro,8,110
calyptrogen,11,136
Calyptrogyne,12,161
Calystegia,10,102
calyx,5,65
cam,3,17
camaca,6,22
Camacan,7,36
camagon,7,54
camail,6,39
camailed,8,48
Camaldolensian,14,123
Camaldolese,11,90
Camaldolesian,13,109
Camaldolite,11,95
Camaldule,9,72
Camaldulian,11,91
camalote,8,70
caman,5,32
camansi,7,60
camara,6,37
camaraderie,11,78
Camarasaurus,12,136
camarilla,9,70
camass,6,56
Camassia,8,66
camata,6,39
camatina,8,62
Camaxtli,8,83
camb,4,19
Camball,7,44
Cambalo,7,47
Cambarus,8,78
cambaye,7,50
camber,6,42
Cambeva,7,47
cambial,7,41
cambiform,9,80
cambiogenetic,13,106
cambism,7,60
cambist,7,67
cambistry,9,110
cambium,7,62
Cambodian,9,62
cambogia,8,51
cambrel,7,54
cambresine,10,89
Cambrian,8,61
Cambric,7,49
cambricleaf,11,73
cambuca,7,44
Cambuscan,9,77
Cambyuskan,10,110
Came,4,22
came,4,22
cameist,7,70
camel,5,34
camelback,9,51
cameleer,8,62
Camelid,7,47
Camelidae,9,53
Camelina,8,58
cameline,8,62
camelish,8,70
camelishness,12,127
camelkeeper,11,94
Camellia,8,56
Camelliaceae,12,70
camellike,9,71
camellin,8,69
Camellus,8,86
camelman,8,62
cameloid,8,62
Cameloidea,10,68
camelopard,10,88
Camelopardalis,14,129
Camelopardid,12,101
Camelopardidae,14,107
Camelopardus,12,128
camelry,7,77
Camelus,7,74
Camembert,9,80
Camenae,7,42
Camenes,7,60
cameo,5,37
cameograph,10,87
cameography,11,112
camera,6,41
cameral,7,53
cameralism,10,94
cameralist,10,101
cameralistic,12,113
cameralistics,13,132
cameraman,9,69
Camerata,8,62
camerate,8,66
camerated,9,70
cameration,10,99
camerier,8,72
Camerina,8,64
Camerinidae,11,82
camerist,8,88
camerlingo,10,97
Cameronian,10,93
Camestres,9,103
camilla,7,51
camillus,8,90
camion,6,55
camisado,8,65
Camisard,8,68
camise,6,50
camisia,7,55
camisole,8,77
camlet,6,54
camleteen,9,78
Cammarum,8,83
cammed,6,39
cammock,7,59
cammocky,8,84
camomile,8,71
camoodi,7,60
camoodie,8,65
Camorra,7,69
Camorrism,9,109
Camorrist,9,116
Camorrista,10,117
camouflage,10,84
camouflager,11,102
camp,4,33
Campa,5,34
campagna,8,56
campagnol,9,82
campaign,8,64
campaigner,10,87
campana,7,49
campane,7,53
campanero,9,86
Campanian,9,72
campaniform,11,109
campanile,9,74
campaniliform,13,130
campanilla,10,82
campanini,9,80
campanist,9,96
campanistic,11,108
campanologer,12,120
campanological,14,122
campanologically,16,159
campanologist,13,145
campanology,11,122
Campanula,9,82
Campanulaceae,13,96
campanulaceous,14,145
Campanulales,12,118
campanular,10,100
Campanularia,12,110
Campanulariae,13,115
campanularian,13,124
Campanularidae,14,119
Campanulatae,12,108
campanulate,11,107
campanulated,12,111
campanulous,11,136
Campaspe,8,74
Campbellism,11,105
Campbellite,11,98
campbellite,11,98
campcraft,9,81
Campe,5,38
Campephagidae,13,89
campephagine,12,98
Campephilus,11,123
camper,6,56
campestral,10,108
campfight,9,83
campfire,8,71
campground,10,112
camphane,8,61
camphanic,9,68
camphanone,10,90
camphanyl,9,93
camphene,8,65
camphine,8,69
camphire,8,73
campho,6,56
camphocarboxylic,16,168
camphoid,8,69
camphol,7,68
campholic,9,80
campholide,10,86
campholytic,11,125
camphor,7,74
camphoraceous,13,138
camphorate,10,100
camphoric,9,86
camphorize,10,114
camphorone,10,108
camphoronic,11,115
camphoroyl,10,126
camphorphorone,14,165
camphorwood,11,131
camphory,8,99
camphoryl,9,111
camphylene,10,102
Campignian,10,87
campimeter,10,103
campimetrical,13,123
campimetry,10,123
Campine,7,61
campion,7,71
cample,6,50
campmaster,10,109
campo,5,48
Campodea,8,58
campodeid,9,70
Campodeidae,11,76
campodeiform,12,118
campodeoid,10,85
campody,7,77
Camponotus,10,137
campoo,6,63
camporee,8,76
